"","V1"
"251",-5.76763081317881
"252",-5.75758517899756
"253",-5.40811177758795
"254",-5.02459981036089
"255",-4.55557418063512
"256",-4.00961048541464
"257",-2.95911037511447
"258",-0.762182371334686
"259",-2.5065616904152
"260",-1.10443064903749
"261",-0.134159162648858
"262",0.965441612882244
"263",2.19201067850909
"264",3.56094090029322
"265",-7.37716555076219
"266",-7.34184873307853
"267",-7.26816674877955
"268",-7.21399352160243
"269",-7.12839532564518
"270",-7.01741195052768
"271",-6.90733055215437
"272",-6.39405277258298
"273",-6.18138676444441
"274",-6.01145821295504
"275",-5.76071512132424
"276",-5.74972028480525
"277",-5.40880709562221
"278",-5.00220801119669
"279",-4.55365885067255
"280",-3.99805071200869
"281",-3.03256677291979
"282",-1.47755728453811
"283",-2.11649727502612
"284",-0.956561350807496
"285",-0.12281025897134
"286",0.980340241525111
"287",2.19787109657981
"288",3.58771568477006
"289",-7.51531758392207
"290",-7.47323651594848
"291",-7.41453178024444
"292",-7.33316732545164
"293",-7.24188853265295
"294",-7.1379808716179
"295",-6.99034944925469
"296",-6.48620938469092
"297",-6.33758584351486
"298",-6.16957745233953
"299",-5.94785611791903
"300",-5.8732962371766
"301",-5.49949139999987
"302",-5.10078414980665
"303",-4.6470380217588
"304",-4.10856659562755
"305",-3.20021178116719
"306",-2.59213334683994
"307",-1.82885787959576
"308",-0.93838717452204
"309",-0.229462256342473
"310",0.866157391333489
"311",2.08876259501007
"312",3.45627579022081
"313",-7.51483287899746
"314",-7.46998778294614
"315",-7.41774314236864
"316",-7.33150933475544
"317",-7.2437468848931
"318",-7.12056076761894
"319",-6.99596682232618
"320",-6.43550855491099
"321",-6.26482614065395
"322",-6.19406038856888
"323",-5.89269175444972
"324",-5.8529734383509
"325",-5.50265860878256
"326",-5.10625136205033
"327",-4.63890884156196
"328",-4.11748514232378
"329",-3.22728778145326
"330",-2.50697877955873
"331",-1.85575743477955
"332",-0.98150285338364
"333",-0.220474986613462
"334",0.863630129557176
"335",2.08557227342432
"336",3.46007831601895
"337",-7.50672716313342
"338",-7.47780925321065
"339",-7.4222725905057
"340",-7.32993047803783
"341",-7.23957791749126
"342",-7.12816355763858
"343",-6.99200556752482
"344",-6.51489068204911
"345",-6.29691913179469
"346",-6.16427677202839
"347",-5.9115437724663
"348",-5.8477070365817
"349",-5.49225833307144
"350",-5.09927593578117
"351",-4.6335964628348
"352",-4.10555338237706
"353",-3.21479742751505
"354",-2.56432315347511
"355",-1.78350235620301
"356",-0.940184553251958
"357",-0.221555414311217
"358",0.862359236248608
"359",2.09407282699982
"360",3.4564187652593
"361",-7.57227175935185
"362",-7.53039430964649
"363",-7.4702363794841
"364",-7.39178738006986
"365",-7.29778486181224
"366",-7.18167983711169
"367",-7.05327572023896
"368",-6.58041717570773
"369",-6.39561180642021
"370",-6.18967710954203
"371",-5.9312299090572
"372",-5.90158296730914
"373",-5.55457835695707
"374",-5.15754308802749
"375",-4.69455471450153
"376",-4.16951395862103
"377",-3.25467872004371
"378",-2.4827339314932
"379",-1.91444092485615
"380",-1.03607423888311
"381",-0.291997259194755
"382",0.801070974538316
"383",2.02348879125705
"384",3.39447563667088
"385",-7.57809830149504
"386",-7.52812726644075
"387",-7.47313387196318
"388",-7.39008183235352
"389",-7.30119092667004
"390",-7.18773676044035
"391",-7.04666361446774
"392",-6.56705838455695
"393",-6.37288817432116
"394",-6.1704612817327
"395",-5.91582358972386
"396",-5.89890750659256
"397",-5.55182302789468
"398",-5.14719569496379
"399",-4.6878057110836
"400",-4.16224956210534
"401",-3.26546098668463
"402",-2.53023872234856
"403",-1.88300530492931
"404",-1.04133836765538
"405",-0.284131424211966
"406",0.805970284847588
"407",2.02225377798165
"408",3.39783505539736
"409",-7.56486997530229
"410",-7.5149197059886
"411",-7.45151823375331
"412",-7.38142274089519
"413",-7.28064345479376
"414",-7.16510109750771
"415",-7.03082339073263
"416",-6.56627750072431
"417",-6.37377730317142
"418",-6.16242245851798
"419",-5.90705617505846
"420",-5.89484952220814
"421",-5.54509827906305
"422",-5.14744081122778
"423",-4.68968688790875
"424",-4.16403707841439
"425",-3.27031238403983
"426",-2.56531848046948
"427",-1.93275936859222
"428",-1.08418390461051
"429",-0.27320919097436
"430",0.833672745153242
"431",2.04977446962319
"432",3.40918015186812
